mAP: 0.2408
mATE: 1.1082
mASE: 0.7151
mAOE: 1.5707
mAVE: 0.5132
mAAE: 0.2109
NDS: 0.2765
Eval time: 191.7s

Per-class results:
Object Class            AP      ATE     ASE     AOE     AVE     AAE   
car                     0.361   1.115   0.751   1.618   0.399   0.201 
truck                   0.211   1.209   0.792   1.624   0.498   0.221 
bus                     0.265   1.116   0.860   1.582   1.173   0.363 
trailer                 0.073   1.147   0.845   1.634   0.367   0.189 
construction_vehicle    0.049   1.331   0.726   1.490   0.146   0.317 
pedestrian              0.330   1.050   0.332   1.602   0.433   0.193 
motorcycle              0.240   1.046   0.801   1.541   0.813   0.191 
bicycle                 0.223   1.074   0.816   1.735   0.276   0.013 
traffic_cone            0.330   1.009   0.338   nan     nan     nan   
barrier                 0.326   0.986   0.890   1.310   nan     nan   
